,0
1774,IHS
1775,NWSA
1776,PGNX
1777,SHEN
1778,INFI
1779,LORL
1780,EXP
1781,FNB
1782,WIRE
1783,KOP
1784,CLGX
1785,ICUI
1786,SKH
1787,REXX
1788,JNPR
1789,MDVN
1790,PPS
1791,PETS
1792,SEM
1793,ENTR
1794,TDY
1795,USLM
1796,SALT
1797,TWOU
1798,UNM
1799,BOFI
1800,CVD
1801,IRF
1802,COL
1803,BNNY
1804,KBH
1805,TFX
1806,HURC
1807,RM
1808,WAG
1809,FGL
1810,MOD
1811,ROST
1812,CIX
1813,EFII
1814,AGO
1815,ELRC
1816,GAIN
1817,URBN
1818,IDA
1819,JACK
1820,SYF
1821,MTDR
1822,DNB
1823,CONN
1824,GPN
1825,KS
1826,ONVO
1827,MODN
1828,MNKD
1829,PATR
1830,ERII
1831,CSII
1832,NE
1833,CMLS
1834,DFT
1835,MCY
1836,MILL
1837,OMCL
1838,SCHW
1839,FNGN
1840,BMI
1841,RECN
1842,GTT
1843,STR
1844,EXAC
1845,ELY
1846,BRC
1847,FULT
1848,CACI
1849,CBK
1850,FE
1851,KO
1852,PCBK
1853,UAA
1854,MLR
1855,DJCO
1856,ULTA
1857,VRSN
1858,BRCD
1859,DMD
1860,LYB
1861,GCAP
1862,IGTE
1863,SUBK
1864,HAL
1865,CKEC
1866,BTH
1867,ALK
1868,TPLM
1869,FTV
1870,NBTB
1871,BLK
1872,HASI
1873,EA
1874,FN
1875,EIX
1876,DWRE
1877,ALR
1878,DRE
1879,OMER
1880,USTR
1881,GB
1882,CBZ
1883,D
1884,PNNT
1885,TAST
1886,CAM
1887,ORA
1888,PFE
1889,VVI
1890,SNCR
1891,AMRC
1892,SHO
1893,BA
1894,JCI
1895,CENTA
1896,STX
1897,CXW
1898,INSY
1899,USM
1900,IVR
1901,ACO
1902,TK
1903,INFA
1904,ACC
1905,HII
1906,UMPQ
1907,DEST
1908,MDLZ
1909,WOOF
1910,NSTG
1911,HVT
1912,IPXL
1913,LM
1914,COTY
1915,ELS
1916,GIII
1917,ALKS
1918,XOMA
1919,AMTD
1920,HCSG
1921,OLP
1922,MATW
1923,TIF
1924,FISV
1925,HTCH
1926,TAYC
1927,CVEO
1928,FINL
1929,TGNA
1930,CPGX
1931,RAS
1932,HF
1933,NTRI
1934,AGM
1935,HOME
1936,CTT
1937,KVHI
1938,LAYN
1939,PTCT
1940,MMM
1941,VZ
1942,PNM
1943,EGY
1944,CPS
1945,PEGI
1946,CUBE
1947,PHIIK
1948,UPL
1949,CMTL
1950,CZR
1951,SE
1952,PEIX
1953,EPR
1954,MRVL
1955,PIR
1956,NETE
1957,TBBK
1958,VAC
1959,CRY
1960,JOUT
1961,FSL
1962,VMC
1963,ISRG
1964,BEN
1965,LL
1966,ARNC
1967,FNFG
1968,AVY
1969,FFIC
1970,SGEN
1971,CATM
1972,FLDM
1973,POM
1974,TSRO
1975,BF_B
1976,PCCC
1977,SGMO
1978,BBBY
1979,MSA
1980,CTXS
1981,FOE
1982,MD
1983,BIRT
1984,MVC
1985,FUR
1986,WMB
1987,CYT
1988,CHGG
1989,DAVE
1990,CAG
1991,CHFC
1992,DLPH
1993,HSTM
1994,GCO
1995,FOXF
1996,TTEK
1997,NVR
1998,PCL
1999,ASNA
2000,SSD
2001,BCO
2002,CYNI
2003,ACM
2004,JOY
2005,LBAI
2006,TGH
2007,XOXO
2008,FOR
2009,ICEL
2010,FRBK
2011,FRSH
2012,VOYA
2013,BCC
2014,CZNC
2015,XYL
2016,EXEL
